8
128
500
27,m
17,r
28,m
15,m
21,r
20,m
23,m
15,m
5,r
26,m
30,r
11,m
23,r
0,r
23,m
8,r
17,m
29,m
8,m
8,r
11,r
7,m
8,r
28,r
26,r
22,m
23,m
2,m
12,r
7,m
4,m
9,r
16,r
25,m
19,r
24,r
6,m
3,r
22,r
30,r
16,m
31,r
1,r
1,m
29,m
17,m
4,m
4,r
1,m
19,r
23,m
16,r
1,m
13,r
25,m
13,m
10,r
5,m
22,m
16,m
23,m
10,m
15,r
9,r
7,m
2,r
26,r
23,r
5,r
30,r
14,r
2,r
19,r
10,m
20,m
30,m
2,m
0,m
7,m
13,r
9,r
8,r
9,m
28,m
12,m
15,m
14,m
4,r
9,m
9,r
1,m
23,r
0,r
30,r
14,r
25,m
10,m
0,m
0,m
13,m
29,r
11,r
6,r
19,m
26,r
9,r
27,r
23,m
24,r
29,r
1,r
7,m
5,r
29,m
20,r
3,m
6,r
11,r
15,m
19,m
1,r
19,r
21,r
15,r
4,m
30,m
17,m
16,r
29,m
2,r
31,r
22,r
18,r
1,r
25,r
1,m
2,m
27,m
13,r
20,m
1,r
0,m
27,m
24,r
6,m
1,m
11,m
26,r
13,m
1,m
18,r
17,m
11,m
3,r
26,m
26,r
28,r
2,r
0,m
1,m
8,r
14,r
13,r
0,r
24,r
28,r
7,m
14,r
19,r
24,m
30,m
31,r
24,r
6,r
3,m
28,m
10,r
23,m
22,m
16,m
25,r
9,r
14,r
3,m
31,r
29,r
7,m
2,r
16,r
28,m
6,m
5,r
1,r
23,m
24,r
20,r
12,m
7,m
8,m
29,m
25,m
5,r
25,r
6,m
27,r
27,m
22,m
1,m
23,m
22,r
31,r
0,m
3,r
1,r
3,m
29,m
30,m
30,r
28,m
11,m
19,m
28,r
9,m
23,r
0,r
13,m
12,m
16,m
17,m
9,m
25,r
25,m
17,r
3,m
29,r
18,m
14,m
17,m
31,r
28,r
18,m
30,r
10,m
25,m
27,r
11,r
28,r
13,r
0,r
8,m
9,r
14,r
26,m
20,r
10,r
18,r
22,r
22,m
5,r
12,m
28,r
29,r
2,m
22,m
22,r
9,r
26,r
16,r
24,r
3,r
2,m
25,m
17,r
6,m
10,m
0,m
14,r
23,r
21,m
31,m
5,m
15,m
28,r
26,m
27,r
10,r
3,m
22,r
8,r
28,r
5,r
15,r
2,r
13,m
29,m
16,m
0,m
23,m
10,m
16,r
29,m
9,r
22,r
15,m
14,m
2,m
28,m
9,r
28,r
3,r
11,m
14,r
7,m
24,m
19,r
10,m
15,r
2,r
1,m
14,m
17,r
0,r
30,m
29,m
11,m
3,m
21,r
28,m
30,r
26,m
6,r
20,r
18,r
14,r
21,r
13,r
17,r
23,m
3,r
10,m
24,r
10,r
11,m
10,r
7,r
27,m
19,m
0,m
18,m
23,r
16,m
2,m
9,r
9,m
28,r
6,m
20,m
17,r
4,r
28,r
14,m
27,r
0,r
23,m
14,r
0,m
19,m
5,m
0,m
14,m
4,m
30,r
30,r
1,m
10,r
85,r
101,m
89,m
118,r
48,m
75,m
70,r
62,r
66,m
71,r
100,m
51,m
94,r
34,r
46,r
85,r
44,m
45,m
33,m
107,m
109,r
84,r
99,m
120,r
109,r
74,m
53,m
103,m
100,r
124,m
71,r
91,m
34,r
93,m
120,r
49,r
117,m
116,r
40,m
74,m
47,r
126,r
95,m
45,r
110,m
49,m
60,r
53,r
75,r
55,r
124,r
75,r
42,m
48,r
84,r
109,m
58,r
59,r
33,r
94,r
47,m
122,m
38,m
40,m
94,m
36,r
90,r
63,r
61,m
67,m
125,m
74,r
77,r
71,r
99,m
63,r
40,m
95,r
118,r
65,m
87,r
44,r
35,m
92,r
95,r
107,m
44,r
74,m
88,r
35,m
50,r
125,m
68,m
115,m
53,r
122,m
35,m
114,r
43,m
53,m
40,m
118,r
53,r
94,r
106,r
46,m
99,m
114,r
120,r
52,r
125,r
47,r
107,r
91,m
63,m
35,r
38,m
94,m
106,m
78,m
70,r
53,r
58,r
62,r
74,m
